Gene	Mutations	Coverage	p-value	q-value	Rank
ATRX	127	3161	0.001627731	0.053746341	102
RP1L1	121	4725	0.001629215	0.053746341	103
CDH10	144	4451	0.001643691	0.053746341	104
LAMA1	123	4485	0.001645645	0.053746341	105
TENM2	116	3187	0.001647881	0.053746341	106
SETD2	99	3502	0.001666873	0.053746341	107
UNC13C	104	3502	0.001683460	0.053746341	108
ASXL3	111	4880	0.001689439	0.053746341	109
ZNF804B	120	4748	0.001692819	0.053746341	110
EPHA5	119	3337	0.001693740	0.053746341	111
CDH18	119	4772	0.001709347	0.053746341	112
PCDH10	129	3401	0.001722631	0.053746341	113
COL6A3	121	4016	0.001728057	0.053746341	114
ZNF831	130	4845	0.001730097	0.053746341	115
PTPRZ1	129	3702	0.001734442	0.053746341	116
PKHD1	128	4579	0.001738745	0.053746341	117
CUBN	116	3763	0.001739802	0.053746341	118
ZNF804A	124	4294	0.001739803	0.053746341	119
TPTE	88	3709	0.001746259	0.053746341	120
OR2W3	103	3683	0.001757078	0.053746341	121
KCNU1	121	4750	0.001763784	0.053746341	122
SORCS3	111	3014	0.001771807	0.053746341	123
DMD	128	3729	0.001781014	0.053746341	124
ADAM23	123	3455	0.001789284	0.053746341	125
FAT2	89	4408	0.001798038	0.053746341	126
F5	108	3418	0.001799729	0.053746341	127
CTNND2	118	4076	0.001804521	0.053746341	128
NOTCH4	101	4792	0.001808005	0.053746341	129
TKTL2	103	4597	0.001811971	0.053746341	130
CDH12	110	3647	0.001819771	0.053746341	131
SETBP1	124	4886	0.001830591	0.053746341	132
FRAS1	115	3379	0.001832367	0.053746341	133
ALK	98	3870	0.001834743	0.053746341	134
REG3A	105	4056	0.001840075	0.053746341	135
NRXN1	108	4796	0.001846146	0.053746341	136
PDGFRA	113	3492	0.001850622	0.053746341	137
FMN2	101	4762	0.001851959	0.053746341	138
PLEC	106	4863	0.001856193	0.053746341	139
SPEF2	111	4862	0.001856380	0.053746341	140
FER1L6	111	3064	0.001859977	0.053746341	141
GRM8	125	4981	0.001862233	0.053746341	142
SERPINA9	134	4413	0.001869338	0.053746341	143
ZEB1	116	3216	0.001879178	0.053746341	144
UNC79	104	4071	0.001888728	0.053746341	145
SIGLEC10	105	3929	0.001894115	0.053746341	146
COBL	96	4577	0.001894639	0.053746341	147
FREM1	121	4275	0.001895370	0.053746341	148
MUC5B	108	3288	0.001899083	0.053746341	149
GRM1	106	3040	0.001905944	0.053746341	150
CNTNAP5	106	3134	0.001910394	0.053746341	151
SPEG	111	4180	0.001921068	0.053746341	152
TENM3	125	3995	0.001929885	0.053746341	153
LRFN5	107	3230	0.001930733	0.053746341	154
PCDHB7	110	4367	0.001934789	0.053746341	155
MGAM	118	3878	0.001935403	0.053746341	156
HCN1	102	4570	0.001938778	0.053746341	157
TNN	107	4513	0.001941726	0.053746341	158
MYH2	109	4522	0.001944699	0.053746341	159
CNTNAP4	111	3520	0.001947660	0.053746341	160
FLG2	109	4086	0.001961710	0.053746341	161
USP29	88	3972	0.001963027	0.053746341	162
IGSF10	109	4162	0.001963283	0.053746341	163
CTNNB1	111	4836	0.001967319	0.053746341	164
ADAMTS16	103	4751	0.001977266	0.053746341	165
NTRK3	97	3206	0.001983814	0.053746341	166
CTNNA2	110	4152	0.001984354	0.053746341	167
PLCE1	109	4495	0.001999993	0.053746341	168
ZNF208	88	4768	0.002003788	0.053746341	169
LAMA2	96	3863	0.002005718	0.053746341	170
F13A1	98	3794	0.002010116	0.053746341	171
PXDNL	108	4698	0.002014058	0.053746341	172
TNC	87	3683	0.002016417	0.053746341	173
KLHL1	95	4264	0.002019130	0.053746341	174
NELL1	106	4051	0.002028213	0.053746341	175
KIF2B	92	4722	0.002033263	0.053746341	176
DNAH11	96	3891	0.002035809	0.053746341	177
ADGRV1	85	4136	0.002050343	0.053746341	178
FAM47A	91	4643	0.002052668	0.053746341	179
HGF	106	4017	0.002066285	0.053746341	180
OR14A16	88	4700	0.002069867	0.053746341	181
NALCN	136	4411	0.002086379	0.053746341	182
ITGA8	112	4064	0.002090153	0.053746341	183
KCNB2	70	4496	0.002090557	0.053746341	184
CRACD	91	4821	0.002101067	0.053746341	185
IRS4	101	4966	0.002118470	0.053746341	186
FSCB	104	3406	0.002120145	0.053746341	187
GRID2	90	4496	0.002120341	0.053746341	188
KCNT2	73	4122	0.002124418	0.053746341	189
PLCB1	94	3748	0.002125066	0.053746341	190
NCKAP5	80	4860	0.002127907	0.053746341	191
PCDH17	93	4194	0.002134881	0.053746341	192
SYNPO2	102	4895	0.002134948	0.053746341	193
BCAS1	88	3627	0.002137686	0.053746341	194
OR10W1	100	4028	0.002140639	0.053746341	195
ROR2	81	4439	0.002150496	0.053746341	196
OR2M7	90	4254	0.002153058	0.053746341	197
ZAN	109	3391	0.002153616	0.053746341	198
OR2T34	101	3612	0.002171663	0.053746341	199
KCNH1	88	3317	0.002172907	0.053746341	200
CRB1	102	3960	0.002176988	0.053746341	201
RALGAPB	70	3098	0.002182024	0.053746341	202
GABRA2	92	4819	0.002187932	0.053746341	203
RASGRF2	103	3098	0.002200229	0.053746341	204
PRCC	103	3804	0.002206846	0.053746341	205
THSD7A	105	3779	0.002208520	0.053746341	206
TRPM1	80	3766	0.002211132	0.053746341	207
EPHA6	101	3642	0.002216304	0.053746341	208
PDILT	75	3640	0.002218010	0.053746341	209
DGKB	92	4266	0.002218870	0.053746341	210
KIAA1549L	90	4529	0.002227987	0.053746341	211
FAM135B	101	4485	0.002229268	0.053746341	212
TRPA1	88	4434	0.002235245	0.053746341	213
ZNF423	106	3200	0.002254944	0.053746341	214
CHRM3	82	4426	0.002256365	0.053746341	215
EPHA7	91	4579	0.002258423	0.053746341	216
RGS22	117	3791	0.002266774	0.053746341	217
SCN9A	91	4012	0.002267315	0.053746341	218
NID1	108	3378	0.002272364	0.053746341	219
OR2M4	71	4875	0.002273216	0.053746341	220
NSG2	76	3337	0.002274952	0.053746341	221
LTBP1	92	3577	0.002276829	0.053746341	222
CACNA2D1	80	3279	0.002278760	0.053746341	223
TLL1	89	3189	0.002281044	0.053746341	224
LAMB4	93	3540	0.002288399	0.053746341	225
ZNF521	97	3392	0.002289394	0.053746341	226
RB1	85	4520	0.002295731	0.053746341	227
FCGBP	102	3725	0.002306801	0.053746341	228
OR4C16	82	4759	0.002308856	0.053746341	229
COL5A2	88	3648	0.002317300	0.053746341	230
F8	80	3400	0.002331099	0.053746341	231
DNAH7	95	3563	0.002333405	0.053746341	232
MAGEC1	99	3766	0.002339244	0.053746341	233
DNAH10	76	4959	0.002342936	0.053746341	234
LRIT2	88	3632	0.002347230	0.053746341	235
SVEP1	86	4397	0.002349836	0.053746341	236
COL4A2	90	4354	0.002350038	0.053746341	237
VWF	91	4976	0.002353498	0.053746341	238
ALDH1B1	84	4291	0.002357909	0.053746341	239
HERC2	96	4714	0.002359912	0.053746341	240
COL3A1	109	3592	0.002360246	0.053746341	241
ZIC4	86	4256	0.002363185	0.053746341	242
LPA	90	4981	0.002363371	0.053746341	243
ALPK2	91	4363	0.002365543	0.053746341	244
QTRT1	88	4282	0.002366371	0.053746341	245
VPS13C	92	4109	0.002366780	0.053746341	246
ADAMTS20	96	4484	0.002368528	0.053746341	247
TET1	93	3524	0.002371394	0.053746341	248
CDKN2A	91	4597	0.002376598	0.053746341	249
PDE1C	89	4248	0.002382341	0.053746341	250
TIGD4	78	3751	0.002395603	0.053746341	251
ACTN2	97	4881	0.002407186	0.053746341	252
TRIML1	76	4734	0.002412222	0.053746341	253
HRNR	86	4631	0.002413743	0.053746341	254
TLR4	95	4020	0.002420521	0.053746341	255
LYST	83	3641	0.002428338	0.053746341	256
SPHKAP	77	3659	0.002431820	0.053746341	257
TBX22	72	3586	0.002439071	0.053746341	258
SPATA31A1	99	4241	0.002442905	0.053746341	259
FHOD3	83	4636	0.002444572	0.053746341	260
NRXN3	94	4923	0.002450337	0.053746341	261
HEPH	87	4248	0.002455575	0.053746341	262
L1CAM	93	4059	0.002458482	0.053746341	263
NLRP2	76	4534	0.002459025	0.053746341	264
VPS13B	76	4663	0.002461882	0.053746341	265
ATP1A2	94	3230	0.002462457	0.053746341	266
MPPED2	91	3556	0.002468342	0.053746341	267
CDH7	92	3681	0.002472185	0.053746341	268
SLITRK6	97	4038	0.002473724	0.053746341	269
SAMD9L	89	4400	0.002479889	0.053746341	270
CHD3	73	4675	0.002483163	0.053746341	271
FAM47B	76	3488	0.002483575	0.053746341	272
OR4A15	87	4842	0.002488840	0.053746341	273
TRRAP	94	3484	0.002491810	0.053746341	274
SMARCA4	71	4991	0.002492365	0.053746341	275
STK11	98	3397	0.002499734	0.053746341	276
FSIP2	85	4715	0.002508561	0.053746341	277
SLITRK2	82	4076	0.002509636	0.053746341	278
TEAD2	83	3001	0.002511327	0.053746341	279
ANKRD30A	84	4533	0.002518910	0.053746341	280
AHNAK	96	3742	0.002520138	0.053746341	281
OR2G2	82	4153	0.002520187	0.053746341	282
PCDHB8	81	4695	0.002523836	0.053746341	283
CA10	86	4695	0.002528764	0.053746341	284
KIAA1109	72	4143	0.002533133	0.053746341	285
DNAH2	77	3954	0.002536811	0.053746341	286
ICE1	82	3854	0.002538024	0.053746341	287
POM121L12	73	3008	0.002542165	0.053746341	288
NEB	93	4678	0.002550910	0.053746341	289
GPR63	81	3729	0.002551422	0.053746341	290
ABCC9	88	4981	0.002553901	0.053746341	291
ALMS1	84	4830	0.002554895	0.053746341	292
SORCS1	91	4051	0.002555523	0.053746341	293
ARSF	94	4757	0.002556640	0.053746341	294
NLRP14	86	4850	0.002557235	0.053746341	295
TENM4	85	4853	0.002557520	0.053746341	296
USF3	74	4595	0.002562972	0.053746341	297
PCDHGA9	63	3565	0.002564437	0.053746341	298
EPHA3	88	4479	0.002565638	0.053746341	299
OR2B11	93	4183	0.002576358	0.053746341	300
NLRP5	73	4327	0.002582848	0.053746341	301
COL22A1	87	4257	0.002587187	0.053746341	302
ZDBF2	76	3550	0.002588788	0.053746341	303
ZFHX3	81	3246	0.002589992	0.053746341	304
BIRC6	76	4843	0.002591418	0.053746341	305
TRPS1	72	4154	0.002591450	0.053746341	306
FCRL5	82	4661	0.002592802	0.053746341	307
TFE3	69	3821	0.002595617	0.053746341	308
STAB2	90	4663	0.002599039	0.053746341	309
CPS1	82	3384	0.002600827	0.053746341	310
ZNF268	84	4409	0.002603502	0.053746341	311
DSCAML1	85	3441	0.002608933	0.053746341	312
TSHZ2	68	3800	0.002616935	0.053746341	313
PRUNE2	90	4371	0.002617602	0.053746341	314
INSC	61	4906	0.002619830	0.053746341	315
PLCL1	83	3698	0.002629208	0.053746341	316
GRM5	75	3472	0.002634583	0.053746341	317
SCN1A	87	3663	0.002637055	0.053746341	318
GRIN2B	82	4589	0.002639910	0.053746341	319
PTPRT	83	3112	0.002644226	0.053746341	320
MACF1	91	3645	0.002644978	0.053746341	321
TCHH	78	3463	0.002655586	0.053746341	322
ZNF292	78	3186	0.002669392	0.053746341	323
PCDHA3	86	4998	0.002671872	0.053746341	324
ZNF479	73	3896	0.002676101	0.053746341	325
ADGRB3	85	3563	0.002677419	0.053746341	326
SHC1	75	4969	0.002680451	0.053746341	327
MICAL2	96	4598	0.002687108	0.053746341	328
SLCO2B1	86	4495	0.002690689	0.053746341	329
DISP3	66	4504	0.002691842	0.053746341	330
GPR158	75	4976	0.002698358	0.053746341	331
OR6K2	69	4704	0.002704065	0.053746341	332
FRMD4A	91	3795	0.002705015	0.053746341	333
PRDM9	94	4430	0.002706826	0.053746341	334
TEX15	83	4136	0.002708568	0.053746341	335
PRDM16	74	3345	0.002717428	0.053746341	336
CD244	80	3883	0.002719010	0.053746341	337
ABCA9	80	3293	0.002721806	0.053746341	338
TAF2	54	3768	0.002722539	0.053746341	339
CEMIP2	74	3623	0.002726891	0.053746341	340
ZEB2	83	3951	0.002732194	0.053746341	341
PRKDC	72	4696	0.002736531	0.053746341	342
ADGRL4	77	4955	0.002741269	0.053746341	343
MYH13	83	4410	0.002741817	0.053746341	344
NLRP12	69	3956	0.002745131	0.053746341	345
RBM10	73	4014	0.002749574	0.053746341	346
HTR5A	65	3157	0.002749752	0.053746341	347
DPP6	81	4707	0.002753391	0.053746341	348
MROH2B	66	3562	0.002763701	0.053746341	349
PKD1L1	81	4462	0.002766583	0.053746341	350
SLIT3	89	4306	0.002776274	0.053746341	351
CD101	63	4311	0.002779020	0.053746341	352
RP1	75	3150	0.002792949	0.053746341	353
UNC5D	78	4534	0.002798798	0.053746341	354
BCHE	71	4135	0.002801584	0.053746341	355
MYH7	75	3871	0.002802106	0.053746341	356
ABCA4	67	4693	0.002807629	0.053746341	357
TGIF2LX	78	4224	0.002808401	0.053746341	358
MSH6	79	4633	0.002820091	0.053746341	359
PPP1R3A	82	3219	0.002822704	0.053746341	360
RASSF2	58	3268	0.002822945	0.053746341	361
NPFFR2	67	3954	0.002827881	0.053746341	362
COL6A6	72	3403	0.002831342	0.053746341	363
DOCK2	93	4862	0.002834546	0.053746341	364
TMEM132B	63	3625	0.002835180	0.053746341	365
COL25A1	63	4966	0.002840961	0.053746341	366
DSCAM	74	3001	0.002842199	0.053746341	367
UNC5B	81	3835	0.002845183	0.053746341	368
SLC22A6	68	4300	0.002845968	0.053746341	369
NUGGC	70	4884	0.002846704	0.053746341	370
ADAMTS2	78	4349	0.002850243	0.053746341	371
COL5A1	63	4895	0.002855911	0.053746341	372
ZC3HAV1	67	3639	0.002863350	0.053746341	373
SPATA31A3	77	3402	0.002865718	0.053746341	374
RBM47	64	4060	0.002865925	0.053746341	375
SNTG1	73	3452	0.002866691	0.053746341	376
CPED1	76	3928	0.002867485	0.053746341	377
RICTOR	81	3202	0.002868925	0.053746341	378
ADCY5	70	3337	0.002870836	0.053746341	379
OR5F1	67	4056	0.002872190	0.053746341	380
TRPV5	71	4443	0.002875753	0.053746341	381
ARHGAP32	74	3143	0.002887527	0.053746341	382
RBBP6	77	4369	0.002888082	0.053746341	383
MAP2	64	4346	0.002891729	0.053746341	384
EXT2	83	4104	0.002898168	0.053746341	385
PTPRN2	70	3877	0.002898746	0.053746341	386
DNAH8	88	4382	0.002902926	0.053746341	387
CMTR2	70	3913	0.002904680	0.053746341	388
CACNA1H	76	4986	0.002907394	0.053746341	389
MMP16	76	3146	0.002908313	0.053746341	390
RIMBP2	58	3991	0.002908798	0.053746341	391
CFAP47	68	3397	0.002910179	0.053746341	392
TRIB2	78	3981	0.002910387	0.053746341	393
VSTM2A	74	3880	0.002912774	0.053746341	394
CADPS	64	3252	0.002918121	0.053746341	395
OR2L8	67	4919	0.002919232	0.053746341	396
DCDC1	73	4256	0.002923707	0.053746341	397
COL4A6	78	3143	0.002924915	0.053746341	398
PRSS1	67	3037	0.002925264	0.053746341	399
SCN10A	63	3489	0.002926578	0.053746341	400
OR2L3	65	4396	0.002934685	0.053746341	401
SACS	73	4682	0.002935276	0.053746341	402
EMILIN2	56	4986	0.002935802	0.053746341	403
KIF4B	72	3815	0.002936180	0.053746341	404
SLC4A3	64	3127	0.002946292	0.053746341	405
CENPF	75	4802	0.002946295	0.053746341	406
SPAG17	83	4648	0.002947257	0.053746341	407
ACAN	60	4077	0.002947603	0.053746341	408
MMRN1	81	4733	0.002958053	0.053746341	409
THSD7B	69	4603	0.002958562	0.053746341	410
FPR2	66	4300	0.002967595	0.053746341	411
HUWE1	77	4794	0.002967817	0.053746341	412
LRRC4C	82	4248	0.002971815	0.053746341	413
KEL	55	3957	0.002976380	0.053746341	414
SRGAP2	75	4438	0.002976508	0.053746341	415
ANK3	67	4906	0.002976752	0.053746341	416
OR6F1	69	4743	0.002981791	0.053746341	417
PIK3CG	72	3053	0.002986139	0.053746341	418
GPR141	58	3655	0.002988769	0.053746341	419
RAPGEF2	71	3509	0.002993812	0.053746341	420
GABRA6	74	4016	0.003001066	0.053746341	421
IGSF1	72	3627	0.003001868	0.053746341	422
ADAMTSL3	53	3689	0.003013774	0.053746341	423
ABCA12	64	4184	0.003016379	0.053746341	424
CYP4F3	65	4539	0.003019748	0.053746341	425
KMT2D	65	3476	0.003021142	0.053746341	426
NLRP13	65	3016	0.003024598	0.053746341	427
MYCBP2	67	3687	0.003030644	0.053746341	428
C2orf78	73	4183	0.003038947	0.053746341	429
PTPRH	74	4787	0.003039867	0.053746341	430
TMEM132D	62	4500	0.003043342	0.053746341	431
SAGE1	64	3279	0.003044830	0.053746341	432
SLC5A7	81	3122	0.003045669	0.053746341	433
JCAD	67	4415	0.003050846	0.053746341	434
CCT8L2	72	3151	0.003053827	0.053746341	435
ZP4	60	3313	0.003055140	0.053746341	436
HP1BP3	62	4416	0.003056226	0.053746341	437
GALR1	78	3608	0.003063328	0.053746341	438
ATP2B3	69	3160	0.003065082	0.053746341	439
OR4C46	76	3863	0.003070501	0.053746341	440
DIO2	65	4215	0.003072128	0.053746341	441
FSTL5	61	3653	0.003077184	0.053746341	442
TPO	76	4171	0.003078483	0.053746341	443
BDP1	70	4919	0.003079460	0.053746341	444
EPHX1	78	4147	0.003094743	0.053746341	445
RAG1	75	4634	0.003094817	0.053746341	446
PLXNA4	65	3658	0.003121430	0.053746341	447
ATRNL1	62	3784	0.003123380	0.053746341	448
LONRF3	54	3521	0.003123741	0.053746341	449
DYNC1H1	79	3197	0.003125422	0.053746341	450
GRID1	70	4729	0.003127545	0.053746341	451
KMT2C	81	4207	0.003129659	0.053746341	452
BAG6	71	4445	0.003133956	0.053746341	453
PLB1	68	4939	0.003136934	0.053746341	454
MDGA2	55	3340	0.003137797	0.053746341	455
SLC8A1	59	3992	0.003148344	0.053746341	456
KATNAL1	63	4686	0.003153851	0.053746341	457
MNDA	63	3569	0.003155222	0.053746341	458
MRC1	67	3749	0.003167733	0.053746341	459
NBEA	65	4072	0.003177427	0.053746341	460
FAM171B	64	3606	0.003177772	0.053746341	461
SGIP1	71	3253	0.003177959	0.053746341	462
TRPM3	66	3878	0.003178487	0.053746341	463
NPY2R	61	3399	0.003178805	0.053746341	464
UGT2A3	59	4643	0.003179503	0.053746341	465
ADGRL3	75	4321	0.003180011	0.053746341	466
PCDHB3	65	4915	0.003182497	0.053746341	467
IL4R	61	4799	0.003188536	0.053746341	468
SPTBN1	62	4199	0.003189855	0.053746341	469
NLGN4X	64	3699	0.003198164	0.053746341	470
DCAF8L1	66	4306	0.003206663	0.053746341	471
UGT3A1	64	3190	0.003211223	0.053746341	472
SLC6A5	78	4930	0.003221503	0.053746341	473
HNF4A	63	3685	0.003221689	0.053746341	474
PIK3R1	71	4250	0.003222501	0.053746341	475
RNF20	54	3761	0.003225341	0.053746341	476
KLHL4	60	4823	0.003228553	0.053746341	477
KIF21A	71	4648	0.003228882	0.053746341	478
ADCY6	50	4588	0.003229487	0.053746341	479
COL24A1	65	4243	0.003232351	0.053746341	480
LOXL3	72	3207	0.003239106	0.053746341	481
COL12A1	73	4060	0.003239116	0.053746341	482
ZNF285	52	4021	0.003244476	0.053746341	483
GCNT4	77	3763	0.003244672	0.053746341	484
ERBB4	65	3815	0.003248055	0.053746341	485
OR2T10	56	3896	0.003248500	0.053746341	486
FRY	59	4002	0.003255261	0.053746341	487
CFHR4	53	4600	0.003256908	0.053746341	488
LCT	61	4848	0.003258487	0.053746341	489
DYSF	67	4158	0.003263797	0.053746341	490
MYO18B	58	3635	0.003268077	0.053746341	491
DCLK3	58	4129	0.003274195	0.053746341	492
WARS2	42	4775	0.003277463	0.053746341	493
GPATCH1	65	3098	0.003277494	0.053746341	494
OR5M10	59	4076	0.003278928	0.053746341	495
PKD1L2	64	4372	0.003280497	0.053746341	496
FAM83B	64	3301	0.003281263	0.053746341	497
MUC5AC	51	4712	0.003282270	0.053746341	498
TEX2	54	3159	0.003284093	0.053746341	499
DOCK10	52	4020	0.003284326	0.053746341	500
CACNA1C	58	4627	0.003291326	0.053746341	501
OR5D14	44	4371	0.003306661	0.053746341	502
CNTN5	54	4039	0.003309882	0.053746341	503
GPC5	57	4012	0.003312441	0.053746341	504
SLC5A11	52	3728	0.003315942	0.053746341	505
CASR	67	4045	0.003316860	0.053746341	506
OR5R1	58	3883	0.003318442	0.053746341	507
CARD11	64	3980	0.003318969	0.053746341	508
CNTN3	60	4213	0.003321215	0.053746341	509
SCAF11	57	3116	0.003323216	0.053746341	510
TARS2	55	4773	0.003324738	0.053746341	511
ABCB5	66	3026	0.003325456	0.053746341	512
STXBP5	61	4115	0.003326619	0.053746341	513
IQGAP2	71	3103	0.003326928	0.053746341	514
NTNG1	55	3473	0.003328224	0.053746341	515
SCRN1	67	4218	0.003332167	0.053746341	516
PTCHD4	72	4943	0.003335602	0.053746341	517
ITIH6	62	4834	0.003339888	0.053746341	518
MYH4	61	4841	0.003341621	0.053746341	519
UMODL1	70	3152	0.003342390	0.053746341	520
ZNF835	57	4853	0.003343171	0.053746341	521
TACC2	47	3046	0.003344090	0.053746341	522
SLC39A12	78	4372	0.003345687	0.053746341	523
WDFY3	66	3959	0.003347302	0.053746341	524
DIP2C	67	4398	0.003354862	0.053746341	525
SENP2	41	4946	0.003356421	0.053746341	526
NOS1	66	3283	0.003356632	0.053746341	527
PPRC1	52	4399	0.003359970	0.053746341	528
ASTN2	67	3400	0.003368888	0.053746341	529
VCAM1	67	3469	0.003371674	0.053746341	530
PRLR	53	4579	0.003373847	0.053746341	531
CTTNBP2	61	3035	0.003377190	0.053746341	532
LRRC32	64	3180	0.003378381	0.053746341	533
TRANK1	63	4662	0.003380301	0.053746341	534
FRYL	60	4688	0.003381588	0.053746341	535
R3HDM1	58	3935	0.003395170	0.053746341	536
RIMS1	59	4219	0.003397264	0.053746341	537
CEP126	64	4279	0.003398000	0.053746341	538
SLIT1	64	4758	0.003402948	0.053746341	539
NLRP8	58	3119	0.003403475	0.053746341	540
PCDHGA2	69	4186	0.003406079	0.053746341	541
SLIT2	64	4122	0.003406125	0.053746341	542
ZZZ3	60	4377	0.003413278	0.053746341	543
SLC26A3	65	4535	0.003415024	0.053746341	544
NUTM1	60	4982	0.003417738	0.053746341	545
MICAL3	62	3245	0.003418017	0.053746341	546
GRM3	57	4369	0.003419677	0.053746341	547
SLC12A2	54	3356	0.003419873	0.053746341	548
PATJ	58	3866	0.003428625	0.053746341	549
OR5D13	60	3681	0.003430493	0.053746341	550
FANCM	57	3801	0.003431164	0.053746341	551
MYO1D	58	3046	0.003433805	0.053746341	552
CDH8	62	4952	0.003433910	0.053746341	553
CDHR2	66	4388	0.003436245	0.053746341	554
HEATR5A	55	4011	0.003436400	0.053746341	555
AHR	58	4810	0.003439356	0.053746341	556
SCN5A	59	3773	0.003444124	0.053746341	557
SLC10A2	58	4682	0.003444487	0.053746341	558
PASD1	60	4715	0.003445148	0.053746341	559
ELSPBP1	56	3703	0.003448370	0.053746341	560
